編號,經度,緯度,事件類別,CBI值
108_A1_145,121.468472,25.001337,A1,3
108_A1_146,121.679068,25.085872,A1,3
108_A1_147,120.22686,23.000888,A1,3
108_A1_148,121.556609,25.041947,A1,3
108_A1_149,121.511012,25.06867,A1,3
108_A1_150,120.660237,23.999173,A1,3
108_A1_151,120.195591,23.002216,A1,3
108_A1_152,120.659957,24.126271,A1,3
108_A1_153,121.204172,25.076039,A1,3
108_A1_154,120.688349,23.993267,A1,3
108_A1_155,120.758927,24.57113,A1,3
108_A1_156,120.848504,24.57429,A1,3
108_A1_157,121.224573,24.959201,A1,3
108_A1_158,121.211156,24.946992,A1,3
108_A1_159,121.300896,24.967968,A1,3
108_A1_160,120.546048,23.589308,A1,3
108_A1_161,120.308571,22.653297,A1,3
108_A1_162,120.717289,24.12923,A1,3
108_A1_163,120.731728,24.140351,A1,3
108_A1_164,121.009059,24.871071,A1,3
108_A1_165,121.278255,24.983798,A1,3
108_A1_166,121.293871,24.921102,A1,3
108_A1_167,121.52397,25.004198,A1,3
108_A1_168,120.628588,24.081411,A1,3
108_A1_169,120.481224,23.682439,A1,3
108_A1_170,121.196388,22.798222,A1,3
108_A1_171,120.944606,24.677924,A1,3
108_A1_172,120.680422,23.087032,A1,3
108_A1_173,120.945122,24.618257,A1,3
108_A1_174,121.452619,25.036297,A1,3
108_A1_175,121.538032,24.972777,A1,3
108_A1_176,121.261456,24.973835,A1,3
108_A1_177,120.97998,24.81401,A1,3
108_A1_178,121.41309,25.023816,A1,3
108_A1_179,120.30152,22.62716,A1,3
108_A1_180,121.30636,25.025483,A1,3
108_A1_181,121.2648,24.902674,A1,3
108_A1_182,120.679658,23.750565,A1,3
108_A1_183,120.62799,24.103056,A1,3
108_A1_184,121.268567,25.018939,A1,3
108_A1_185,120.909125,24.692481,A1,3
108_A1_186,121.222571,24.771371,A1,3
108_A1_187,121.215306,24.868198,A1,3
108_A1_188,121.46982,25.036062,A1,3
108_A1_189,120.545791,24.194558,A1,3
108_A1_190,120.367037,22.634872,A1,3
108_A1_191,121.293654,23.346772,A1,3
